close,epoch,high,low,open
110908.0046,2025-05-07 06:55:00,111365.0326,110858.3501,111249.9159
110832.5219,2025-05-07 07:00:00,111200.2,110824.3351,110934.459
110586.8955,2025-05-07 07:05:00,111049.6984,110518.6001,110860.7061
110339.9363,2025-05-07 07:10:00,110625.5881,110314.3853,110590.8751
110201.2722,2025-05-07 07:15:00,110447.4128,110148.1276,110330.3736
110084.4868,2025-05-07 07:20:00,110240.8844,109933.4294,110212.2524
110075.1824,2025-05-07 07:25:00,110226.8378,109792.6648,110074.0029
109837.8506,2025-05-07 07:30:00,110083.9146,109632.1125,110069.5518
110271.3735,2025-05-07 07:35:00,110285.6788,109792.8281,109863.8467
110300.0203,2025-05-07 07:40:00,110411.9213,110181.9204,110264.4527
110265.9473,2025-05-07 07:45:00,110463.119,110209.4899,110281.3395
110378.7616,2025-05-07 07:50:00,110549.2569,110224.0787,110274.7372
110180.7685,2025-05-07 07:55:00,110445.1498,110140.8888,110365.9619
110100.7224,2025-05-07 08:00:00,110279.0083,110048.4479,110147.7845
110392.852,2025-05-07 08:05:00,110407.0589,109991.1372,110095.2925
109954.4702,2025-05-07 08:10:00,110432.5539,109899.9383,110395.2458
109782.1243,2025-05-07 08:15:00,110038.8623,109612.2173,109962.3471
109776.3276,2025-05-07 08:20:00,109909.3813,109648.8144,109782.4962
110154.92,2025-05-07 08:25:00,110163.0294,109768.9413,109779.6365
110317.3297,2025-05-07 08:30:00,110428.6871,110086.4351,110172.8959
109747.5654,2025-05-07 08:35:00,110368.7466,109747.5654,110313.2287
109626.7198,2025-05-07 08:40:00,109899.0635,109626.7198,109789.544
109434.2736,2025-05-07 08:45:00,109598.9449,109336.2923,109598.9449
109941.2696,2025-05-07 08:50:00,109965.6804,109358.8341,109429.2236
109699.7466,2025-05-07 08:55:00,110119.9791,109697.3141,109954.3802
109791.7097,2025-05-07 09:00:00,109843.17,109483.8677,109676.8047
109761.1283,2025-05-07 09:05:00,109840.0317,109479.3611,109815.3914
109861.3811,2025-05-07 09:10:00,109906.8512,109614.0686,109791.156
109931.6202,2025-05-07 09:15:00,109986.9321,109727.3124,109859.9713
109911.2733,2025-05-07 09:20:00,109994.2671,109641.2156,109967.2818
109610.1958,2025-05-07 09:25:00,109993.3533,109600.833,109902.7421
109636.5768,2025-05-07 09:30:00,109835.2518,109495.5257,109580.1081
109441.0198,2025-05-07 09:35:00,109702.7638,109369.4725,109632.8161
